skill_id,name,status,note
4101,时装使用效果-休闲-星光狮,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits19_XingGuang2_Relax_1.G6_Suits19_XingGuang2_Relax_1
4102,时装使用效果-换宠-星光狮,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits19_XingGuang2_1_N_ZhaoHuan.G6_Suits19_XingGuang2_1_N_ZhaoHuan
4103,时装使用效果-胜利-星光狮,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits19_XingGuang2_Fight_PVP_Win.G6_Suits19_XingGuang2_Fight_PVP_Win
4201,时装使用效果-休闲-星光狮,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits19_XingGuang2_Relax_1.G6_Suits19_XingGuang2_Relax_1
4202,时装使用效果-换宠-星光狮,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits19_XingGuang2_1_N_ZhaoHuan.G6_Suits19_XingGuang2_1_N_ZhaoHuan
4203,时装使用效果-胜利-星光狮,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits19_XingGuang2_Fight_PVP_Win.G6_Suits19_XingGuang2_Fight_PVP_Win
4301,时装使用效果-休闲-烈火守护,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits20_WaTe3_Relax_1.G6_Suits20_WaTe3_Relax_1
4302,时装使用效果-换宠-烈火守护,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits20_WaTe3_1_N_ZhaoHuan.G6_Suits20_WaTe3_1_N_ZhaoHuan
4303,时装使用效果-胜利-烈火守护,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits20_WaTe3_Fight_PVP_Win.G6_Suits20_WaTe3_Fight_PVP_Win
4401,时装使用效果-休闲-烈火守护,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits20_WaTe3_Relax_1.G6_Suits20_WaTe3_Relax_1
4402,时装使用效果-换宠-烈火守护,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits20_WaTe3_1_N_ZhaoHuan.G6_Suits20_WaTe3_1_N_ZhaoHuan
4403,时装使用效果-胜利-烈火守护,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits20_WaTe3_Fight_PVP_Win.G6_Suits20_WaTe3_Fight_PVP_Win
4501,时装使用效果-休闲-皇家狮鹫,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits21_ShiJiu3_Relax_1.G6_Suits21_ShiJiu3_Relax_1
4502,时装使用效果-换宠-皇家狮鹫,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits21_ShiJiu3_1_N_ZhaoHuan.G6_Suits21_ShiJiu3_1_N_ZhaoHuan
4503,时装使用效果-胜利-皇家狮鹫,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits21_ShiJiu3_Fight_PVP_Win.G6_Suits21_ShiJiu3_Fight_PVP_Win
4601,时装使用效果-休闲-皇家狮鹫,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits21_ShiJiu3_Relax_1.G6_Suits21_ShiJiu3_Relax_1
4602,时装使用效果-换宠-皇家狮鹫,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits21_ShiJiu3_1_N_ZhaoHuan.G6_Suits21_ShiJiu3_1_N_ZhaoHuan
4603,时装使用效果-胜利-皇家狮鹫,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits21_ShiJiu3_Fight_PVP_Win.G6_Suits21_ShiJiu3_Fight_PVP_Win
4701,时装使用效果-休闲-护主犬,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits18_YinSuQuan2_Relax_1.G6_Suits18_YinSuQuan2_Relax_1
4702,时装使用效果-换宠-护主犬,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits18_YinSuQuan2_1_N_ZhaoHuan.G6_Suits18_YinSuQuan2_1_N_ZhaoHuan
4703,时装使用效果-胜利-护主犬,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits18_YinSuQuan2_Fight_PVP_Win.G6_Suits18_YinSuQuan2_Fight_PVP_Win
4801,时装使用效果-休闲-护主犬,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits18_YinSuQuan2_Relax_1.G6_Suits18_YinSuQuan2_Relax_1
4802,时装使用效果-换宠-护主犬,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits18_YinSuQuan2_1_N_ZhaoHuan.G6_Suits18_YinSuQuan2_1_N_ZhaoHuan
4803,时装使用效果-胜利-护主犬,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits18_YinSuQuan2_Fight_PVP_Win.G6_Suits18_YinSuQuan2_Fight_PVP_Win
4901,时装使用效果-休闲-岚鸟,RocoData??,source=SKILL_RES_CONF; res_id=/Game/ArtRes/Effects/G6Skill/SYH/G6_Suits22_LanNiao3_Relax_1.G6_Suits22_LanNiao3_Relax_1
